rxn_id,C,D,T
R_4HBZCOAFm,0.0,0.0,0.0
R_4HBZFm,0.0,0.0,0.0
R_4HGLSDm,0.0,0.0,0.0
R_4HOXPACDOX_NADP_,0.0,0.0,0.0
R_4NPHSULT,0.0,0.0,0.0
R_5ADTSTSTERONESULT,0.0,0.0,0.0
R_5HLTDL,0.0,0.0,0.0
R_5HOXINDACTO2OX,0.0,0.0,0.0
R_5HOXINDACTOXm,0.0,0.0,0.0
R_5HOXINOXDA,0.0,0.0,0.0
R_5HTRPDOX,0.0,0.0,0.0
R_5HXKYNDCL,0.0,0.0,0.0
R_5HXKYNOXDA,0.0,0.0,0.0
R_A_MANASE,0.0,0.0,0.0
R_A_MANASEly,0.0,0.0,0.0
R_A4GALTc,0.0,0.0,0.0
R_A4GALTg,0.0,0.0,0.0
R_A4GNT1g,0.0,0.0,0.0
R_A4GNT2g,0.0,0.0,0.0
R_AACOAT,0.0,0.070556561329251297,0.0
R_AACTOOR,0.0,0.0,0.0
R_AASAD3m,0.0,0.0,0.0
R_AATAi,0.0,0.0,0.0
R_ABO1g,0.0,0.0,0.0
R_ABO2g,0.0,0.0,0.0
R_ABO3g,0.0,0.0,0.0
R_ABO4g,0.0,0.0,0.0
R_ABO5g,0.0,0.0,0.0
R_ABO6g,0.0,0.0,0.0
R_ABO7g,0.0,0.0,0.0
R_ABO8g,0.0,0.0,0.0
R_ABO9g,0.0,0.0,0.0
R_ABTArm,0.0,0.0,0.0
R_ABTD,0.0,0.0,0.0
R_ABUTD,0.0,0.0,0.0
R_ACACT10m,0.0,0.0,0.0
R_ACACT1r,0.0,-0.070556561329251297,0.0
R_ACACT1rm,0.0,0.070556560305196192,0.0
R_ACACT1x,0.0,0.0,0.0
R_ACACT4p,0.0,0.0,0.0
R_ACACT5p,0.0,0.0,0.0
R_ACACT6p,0.0,0.0,0.0
R_ACACT7p,0.0,0.0,0.0
R_ACACT8p,0.0,0.0,0.0
R_ACACT9p,0.0,0.0,0.0
R_ACCOAC,0.0,0.0,0.0
R_ACCOACm,0.0,0.0,0.0
R_ACCOAL,0.0,0.0,0.0
R_ACCOALm,0.0,0.0,0.0
R_ACGALK,0.0,0.0,0.0
R_ACGALK2,0.0,0.0,0.0
R_ACGAM2E,0.0,0.0,0.0
R_ACGAM6PSi,0.0,0.0,0.0
R_ACGAMK,0.0,0.0,0.0
R_ACGAMPM,0.0,0.0,0.0
R_ACGPID,0.0,0.0,0.0
R_ACGSm,0.0,0.0,0.0
R_ACHEe,0.0,0.0,0.0
R_ACITL,0.0,0.0,0.0
R_ACNAM9PL,0.0,0.0,0.0
R_ACNAM9PL2,0.0,0.0,0.0
R_ACNAMPH,0.0,0.0,0.0
R_ACNMLr,0.0,0.0,0.0
R_ACOAD10m,0.0,0.0,0.0
R_ACOAD1fm,0.0,0.0,0.0
R_ACOAD8m,0.0,0.0,0.0
R_ACOAD9m,0.0,0.0,0.0
R_ACOAHi,0.0,0.0,0.0
R_ACOAO7p,0.0,0.0,0.0
R_ACOATA,0.0,0.0,0.0
R_ACODA,0.0,0.0,0.0
R_ACONT,0.0,0.19364024616090289,0.63861716880574393
R_ACONTm,2.8770228408034453,3.5257616921479396,2.5560285791339821
R_ACOX22x,0.0,0.0,0.0
R_ACOX2x,0.0,0.0,0.0
R_ACP1_FMN_,0.0,0.0,0.0
R_ACS,0.0,0.0,0.0
R_ACS2,0.0,0.0,0.0
R_ACSm,0.0,0.0,0.0
R_ACSOMT,0.0,0.0,0.0
R_ACSRTNMT,0.0,0.0,0.0
R_ACTLMO,0.0,0.0,0.0
R_ACTNMO,0.0,0.0,0.0
R_ACYP,0.0,0.0,0.0
R_ADA,0.0,0.0,0.0
R_ADAe,0.0,0.0,0.0
R_ADCim,0.0,0.0,0.0
R_ADK1,1.5350235446263332,2.3809422957857294,1.8602011498612305
R_ADK1m,0.52341300213998698,0.39641887826790445,0.35358983147569184
R_ADK3,-0.26593171185081621,0.0,0.0
R_ADK3m,-1.3599476453934045,-1.2506896265005427,-1.1198401357401739
R_ADKd,-0.2283460693496889,0.0,0.0
R_ADMDC,0.0,0.0,0.0
R_ADNCYC,0.0,0.0,0.0
R_ADNK1,0.83653464323290982,0.85427074816536064,0.7662503041972375
R_ADNK1m,0.0,0.0,0.0
R_ADPGLC,0.0,0.0,0.0
R_ADPMAN,0.0,0.0,0.0
R_ADPRDP,0.0,0.0,0.0
R_ADPRDPm,0.0,0.0,0.0
R_ADPT,0.0,0.0,0.0
R_ADRNCPT1,0.0,0.0,0.0
R_ADRNCPT2,0.0,0.0,0.0
R_ADSELK,0.0,0.0,0.0
R_ADSK,0.43255718932271636,2.9714084676256856,1.232357497316557
R_ADSL1,0.0,0.0,0.0
R_ADSL2,0.0,0.0,0.0
R_ADSS,0.0,0.0,0.0
R_AG13T10g,0.0,0.0,0.0
R_AG13T11g,0.0,0.0,0.0
R_AG13T12g,0.0,0.0,0.0
R_AG13T13g,0.0,0.0,0.0
R_AG13T14g,0.0,0.0,0.0
R_AG13T15g,0.0,0.0,0.0
R_AG13T16g,0.0,0.0,0.0
R_AG13T17g,0.0,0.0,0.0
R_AG13T18g,0.0,0.0,0.0
R_AG13T1g,0.0,0.0,0.0
R_AG13T2g,0.0,0.0,0.0
R_AG13T3g,0.0,0.0,0.0
R_AG13T4g,0.0,0.0,0.0
R_AG13T5g,0.0,0.0,0.0
R_AG13T6g,0.0,0.0,0.0
R_AG13T7g,0.0,0.0,0.0
R_AG13T8g,0.0,0.0,0.0
R_AG13T9g,0.0,0.0,0.0
R_AGDC,0.0,0.0,0.0
R_AGLPC,0.0,0.0,0.0
R_AGLPED,0.0,0.0,0.0
R_AGLPET,0.0,0.0,0.0
R_AGLPH,0.0,0.0,0.0
R_AGLPR,0.0,0.0,0.0
R_AGLPT,0.0,0.0,0.0
R_AGMTm,0.0,0.0,0.0
R_AGPAT1,0.0,0.19627916095780359,0.17723854546662324
R_AGPRim,0.0,0.0,0.0
R_AGTim,0.0,0.0,0.0
R_AGTix,0.0,0.0,0.0
R_AHC,0.0,0.0,0.0
R_AHEXASE2ly,0.0,0.0,0.0
R_AHEXASEly,0.0,0.0,0.0
R_AICART,0.0,0.0,0.0
R_AIRCr_PRASCS,0.0,0.0,0.0
R_AKGDm,1.6482468018723888,2.7892700239202148,2.4635363343272836
R_AKR1C1,0.0,0.0,0.0
R_AKR1C41,0.0,0.0,0.0
R_AKR1C42,0.0,0.0,0.0
R_AKR1D,0.0,0.0,0.0
R_AKR1D2,0.0,0.0,0.0
R_ALAR,0.0,0.39088666353444829,0.55623345007910607
R_ALASm,0.23332597393527404,0.31581955568129616,0.27316661850965768
R_ALATA_L,-5.2545751800587678e-06,0.0,0.0
R_ALCD1,0.0,0.0,0.0
R_ALCD21_L,6.525426363362012,4.9961382809375046,4.3193823911856919
R_ALCD22_L,0.0,0.0,0.0
R_ALCD2if,0.0,0.0,0.0
R_ALCD2yf,0.0,0.0,0.0
R_ALDD20x,0.0,0.0,0.0
R_ALDD20xm,0.0,0.0,0.0
R_ALDD21,0.0,0.0,0.0
R_ALDD2x,0.0,0.0,0.0
R_ALDD2xm,0.0,0.0,0.1980709815978354
R_ALDD2y,0.0,0.0,0.0
R_ALKP,0.0,0.0,0.0
R_ALOX12,0.0,0.0,0.0
R_ALOX12R,0.0,0.0,0.0
R_ALOX15,0.0,0.0,0.0
R_ALOX5,0.0,0.0,0.0
R_ALOX52,0.0,0.0,0.0
R_ALR2,6.525426363362012,4.9961382809375046,4.3193823911856919
R_ALR3,6.525426363362012,4.9961382809375046,4.3193823911856919
R_AMACR2p,0.0,0.0,0.0
R_AMACR2r,0.0,0.0,0.0
R_AMACRp,0.0,0.0,0.0
R_AMACRr,0.0,0.0,0.0
R_AMANK,0.0,0.0,0.0
R_AMCOXO,0.0,0.0,0.0
R_AMPDA,0.0,0.0,0.0
R_AMPTASECG,0.0,0.0,0.0
R_AMPTASECGe,0.0,0.0,0.0
R_AMY1e,0.0,0.0,0.0
R_AMY2e,0.0,0.0,0.0
R_AOBUTDsm,0.0,0.0,0.0
R_AP4AH1,0.0,0.0,0.0
R_APAT2rm,0.0,0.0,0.0
R_APOCF,0.0,0.0,0.0
R_APOCFm,0.0,0.0,0.0
R_APOC_LYS_BTNP,0.0,0.0,0.0
R_APOC_LYS_BTNPm,0.0,0.0,0.0
R_APRTO2,0.0,0.0,0.0
R_ARABR,0.0,0.0,0.0
R_ARACHCPT1,0.0,0.0,0.0
R_ARACHCPT2,0.0,0.0,0.0
R_ARGDCm,0.0,0.0,0.0
R_ARGN,0.0,0.0,0.0
R_ARGNm,0.0,0.0,0.0
R_ARGSL,0.0,0.0,0.0
R_ARGSS,0.0,0.0,0.0
R_ARSA,0.0,0.0,0.0
R_ARTCOAL1,0.0,0.0,0.0
R_R_group_phosphotase_1,0.0,0.39255832191560719,0.3544770909325457
R_ARTFR207,0.0,0.0,0.0
R_ARTFR31,0.0,0.0,0.0
R_ARTFR51,0.0,0.0,0.0
R_ARTPLM1,0.0,0.45317961364073234,0.53536774550916522
R_ARTPLM1m,0.0,0.0,0.0
R_ASAH1,0.0,0.0,0.0
R_ASCBOX,0.0,0.0,0.0
R_ASNNm,0.0,0.0,0.0
R_ASNS1,0.0,0.0,0.0
R_ASP1DC,0.0,0.0,0.0
R_ASPCTr,0.0,0.0,0.0
R_ASPNATm,0.0,0.72254047475827021,0.72152311311233552
R_ASPTA,2.9633237461108997,3.3506489764564402,2.7029447804782434
R_ASPTAm,-2.9633237461778386,-3.3506489765233676,-2.7029447804782434
R_ATPH1e,0.0,0.0,0.0
R_ATPH2e,0.0,0.0,0.0
R_B_MANNASEly,0.0,0.0,0.0
R_B3GALT3g,0.0,0.0,0.0
R_B3GALT41g,0.0,0.0,0.0
R_B3GALT42g,0.0,0.0,0.0
R_B3GALT43g,0.0,0.0,0.0
R_B3GALT44g,0.0,0.0,0.0
R_B3GALT5g,0.0,0.0,0.0
R_B3GALTg,0.0,0.0,0.0
R_B3GNT11g,0.0,0.0,0.0
R_B3GNT12g,0.0,0.0,0.0
R_B3GNT310g,0.0,0.0,0.0
R_B3GNT311g,0.0,0.0,0.0
R_B3GNT312g,0.0,0.0,0.0
R_B3GNT313g,0.0,0.0,0.0
R_B3GNT314g,0.0,0.0,0.0
R_B3GNT315g,0.0,0.0,0.0
R_B3GNT31g,0.0,0.0,0.0
R_B3GNT32g,0.0,0.0,0.0
R_B3GNT33g,0.0,0.0,0.0
R_B3GNT34g,0.0,0.0,0.0
R_B3GNT35g,0.0,0.0,0.0
R_B3GNT36g,0.0,0.0,0.0
R_B3GNT37g,0.0,0.0,0.0
R_B3GNT39g,0.0,0.0,0.0
R_B3GNT51g,0.0,0.0,0.0
R_BAAT1x,0.0,0.0,0.0
R_BAAT2x,0.0,0.0,0.0
R_BAAT3x,0.0,0.0,0.0
R_BAAT4x,0.0,0.0,0.0
R_BACCL,0.0,0.0,0.0
R_BACCLm,0.0,0.0,0.0
R_BAMPPALDOX,0.0,0.0,0.0
R_BAMPPALDOXm,0.0,0.0,0.0
R_BBHOX,0.0,0.0,0.0
R_BCDO,0.0,0.0,0.0
R_BDG2HCGHD,0.0,0.0,0.0
R_BDHm,0.0,0.0,0.0
R_BDMT_L,0.0,0.0,0.0
R_BETALDHxm,0.0,0.0,0.0
R_BHMT,0.0,0.0,0.0
R_BILIRED,0.0,0.0,0.0
R_BMTer_L,0.0,0.0,0.0
R_BPNT,0.43255718932271636,0.62690396512185154,0.29758881627952855
R_BPNT2,0.0,2.3445045025038342,0.93476868103702848
R_BTND1,0.0,0.0,0.0
R_BTND1n,0.0,0.0,0.0
R_BTNDe,0.0,0.0,0.0
R_BTNDm,0.0,0.0,0.0
R_BTNPL,0.0,0.0,0.0
R_BTNPLm,0.0,0.0,0.0
R_BUP2,0.0,0.0,0.0
R_C14STRr,0.0,0.0,0.0
R_C160CPT1,0.0,0.0,0.0
R_C160CPT2,0.0,0.0,0.0
R_C161CPT1,0.0,0.0,0.0
R_C161CPT12,0.0,0.0,0.0
R_C161CPT2,0.0,0.0,0.0
R_C161CPT22,0.0,0.0,0.0
R_C180CPT1,0.0,0.0,0.0
R_C180CPT2,0.0,0.0,0.0
R_C181CPT1,0.0,0.0,0.0
R_C181CPT2,0.0,0.0,0.0
R_C204CPT1,0.0,0.0,0.0
R_C204CPT2,0.0,0.0,0.0
R_C226CPT1,0.0,0.0,0.0
R_C226CPT2,0.0,0.0,0.0
R_C2M26DCOAHLm,0.0,0.0,0.0
R_C2M26DCOAHLx,0.0,0.0,0.0
R_C3STDH1Pr,0.0,0.0,0.0
R_C3STDH1r,0.0,0.0,0.0
R_C3STKR2r,0.0,0.0,0.0
R_C4STMO1r,0.0,0.0,0.0
R_C4STMO2Pr,0.0,0.0,0.0
R_C4STMO2r,0.0,0.0,0.0
R_CAT2p,0.0,0.0,0.0
R_CATm,0.97871544822991352,1.0856818045102743,0.97637220544940018
R_CATp,0.0,0.0,0.0
R_CBL2OR,0.0,0.0,0.0
R_CBLATm,0.0,0.0,0.0
R_CBPPer,0.0,0.0,0.0
R_CBPS,0.0,0.0,0.0
R_CBPSam,0.0,0.0,0.0
R_CBR1,0.0,0.0,0.0
R_CBR2,0.0,0.0,0.0
R_CDIPTr,0.0,0.0,0.0
R_CDS,0.0,0.0,0.0
R_CDSm,0.0,0.0,0.0
R_CEPTC,0.25294770958871265,0.25866961638118002,0.60471125121297642
R_CEPTE,0.55441393790329851,0.50719390979257362,0.65758283664904282
R_CERK,0.0,0.0,0.0
R_CH25H,0.0,0.0,0.0
R_CHAT,0.0,0.0,0.0
R_CHATn,0.0,0.0,0.0
R_CHLP,0.0,0.0,0.0
R_CHLPCTD,0.25294770958871265,0.25866961638118002,0.60471125121297642
R_CHOLD2m,0.0,0.0,0.0
R_CHOLK,0.0,0.0,0.26613849563627634
R_CHSTEROLSULT,0.0,0.0,0.0
R_CHTNASE,0.0,0.0,0.0
R_CHTNASEe,0.0,0.0,0.0
R_CITL,0.0,0.0,0.0
R_CITMCOAHm,0.0,0.0,0.0
R_CITMCOALm,0.0,0.0,0.0
R_CK,1.2972022509312202,3.5963734183795291,2.5843152967646597
R_CKc,-1.2972022509312202,-3.5963734183795291,-2.5843152967646597
R_CLPNDCPT1,0.0,0.0,0.0
R_CLPNDCPT2,0.0,0.0,0.0
R_CLS_hs,0.0,0.0,0.0
R_CMPSAS,0.0,4.9675993303034529,4.7665048582179388
R_CMPSASn,0.0,0.0,0.0
R_COKECBESr,0.0,0.0,0.0
R_COQ3m,0.0,0.0,0.0
R_COQ5m,0.0,0.0,0.0
R_COQ6m,0.0,0.0,0.0
R_COQ7m,0.0,0.0,0.0
R_CORE2GTg,0.0,0.0,0.0
R_CORE3GTg,0.0,0.0,0.0
R_CORE4GTg,0.0,0.0,0.0
R_CORE5GTg,0.0,0.0,0.0
R_CORE6GTg,0.0,0.0,0.0
R_CORE7GTg,0.0,0.0,0.0
R_CORE8GTg,0.0,0.0,0.0
R_COUCOAFm,0.0,0.0,0.0
R_CPCTDTX,0.0,0.0,0.0
R_CPPPGO,0.0,0.0,0.0
R_CRTNsyn,0.0,0.0,0.0
R_CSAPASEly,0.0,0.0,0.0
R_CSBPASEly,0.0,0.0,0.0
R_CSCPASEly,0.0,0.0,0.0
R_CSDPASEly,0.0,0.0,0.0
R_CSEPASEly,0.0,0.0,0.0
R_CSm,1.648246801328564,2.7892700234100269,2.4635363337988752
R_CSNAT2m,0.0,0.13451621378653769,0.4985849384685252
R_CSNAT2x,0.0,0.0,0.0
R_CSNAT3x,0.0,0.0,0.0
R_CSNATer,0.0,-0.16969815164443999,-0.032825640009842706
R_CSNATm,0.19403915948893283,0.0,0.0
R_CSNATp,0.19403915930952589,0.16969815164389992,0.032825640009841076
R_CSNATr,0.0,0.0,0.0
R_CSND,0.0,0.0,0.0
R_CTPS1,0.0,0.0,0.15372846164191717
R_CTPS2,0.0,0.0,0.0
R_CYSGLTH,0.26199681035578437,0.18421018169240444,0.24123510791446962
R_CYSLYSL,0.0,0.0,0.0
R_CYSO,0.0,0.0,0.0
R_CYSTA,0.4325571893227162,0.62690396512185154,0.29758881627952855
R_CYSTAm,0.0,0.0,0.0
R_CYSTGL,0.0,0.0,0.0
R_CYSTS,0.0,0.0,0.0
R_CYTD,0.0,0.0,0.15372846164156634
R_CYTDK1,0.43476558646082986,0.0013086208066201161,0.5374656861469097
R_CYTDK2m,0.0,0.0,0.0
R_CYTDn,0.0,0.0,0.0
R_CYTK1,0.0,0.76343341145612909,2.2148187303018547
R_CYTK10,0.0,0.0,0.0
R_CYTK10n,0.0,0.0,0.0
R_CYTK11,0.2135712989724893,0.00064283801256532027,1.9349075104523997e-06
R_CYTK11n,0.0,0.0,0.0
R_CYTK12,0.0,0.0,0.0
R_CYTK12n,0.0,0.0,0.0
R_CYTK13,-1.9307403533440939,-0.61311314635646974,-0.66428914709399789
R_CYTK13n,0.0,0.0,0.0
R_CYTK14,0.0,0.0,0.0
R_CYTK14n,0.0,0.0,0.0
R_CYTK1m,0.0,0.0,0.0
R_CYTK1n,0.0,0.0,0.0
R_CYTK2,1.7201300434858353,1.3759126322164799,0.66658513212632364
R_CYTK2n,0.0,0.0,0.0
R_CYTK3,0.0,0.0,0.0
R_CYTK3n,0.0,0.0,0.0
R_CYTK4,0.0,0.0,0.0
R_CYTK4n,0.0,0.0,0.0
R_CYTK5,-0.0029609891142308798,-0.76344232387257538,-0.0022979199384357794
R_CYTK5n,0.0,0.0,0.0
R_CYTK6,0.0,0.0,-1.106260418594917
R_CYTK6n,0.0,0.0,0.0
R_CYTK7,0.80736164749201045,0.0024301147176245446,7.314513340038145e-06
R_CYTK7n,0.0,0.0,0.0
R_CYTK8,0.0,0.0,0.0
R_CYTK8n,0.0,0.0,0.0
R_CYTK9,0.0,0.0,0.0
R_CYTK9n,0.0,0.0,0.0
R_D3AIBTm,0.0,0.0,0.0
R_DADA,0.0,0.0,0.0
R_DADAe,0.0,0.0,0.0
R_DADNK,0.0,0.0,0.0
R_DAGK_hs,-0.55441393788278981,-0.70347307075037713,-1.1009598777519425
R_DAGKn_hs,0.15622164429839103,0.51937816997820652,0.41667882276135687
R_DALAOXx,0.0,0.39088666353444829,0.55623344812674591
R_DARGOp,0.0,0.0,0.0
R_DASCBH,0.0,0.0,0.0
R_DASCBR,0.0,0.7661666286483062,0.64936869483882997
R_DASPO1p,0.0,0.0,0.0
R_DCIm,0.0,0.0,0.0
R_DCK1m,0.0,0.0,0.0
R_DCK1n,0.0,0.0,0.0
R_DCK2n,0.0,0.0,0.0
R_DCMPDA,0.0,0.0,0.0
R_DCSPTN1CPT1,0.0,0.0,0.0
R_DCSPTN1CPT2,0.0,0.0,0.0
R_DCT,0.0,0.0,0.0
R_DCYTD,0.0,0.0,0.0
R_DCYTDn,0.0,0.0,0.0
R_DDPGAm,0.0,0.0,0.0
R_DEDOLP1_L,0.0,0.0,0.0
R_DEDOLP2_L,0.0,0.0,0.0
R_DEDOLR_L,0.0,0.0,0.0
R_DESAT16_2,0.0,0.45317961364073234,0.53536774550976718
R_DESAT18_10,0.0,0.0,0.0
R_DESAT18_3,0.0,0.0,0.0
R_DESAT18_4,0.0,0.0,0.0
R_DESAT18_5,0.0,0.0,0.0
R_DESAT18_6,0.0,0.0,0.0
R_DESAT18_7,0.0,0.0,0.0
R_DESAT18_8,0.0,0.0,0.0
R_DESAT18_9,0.0,0.0,0.0
R_DESAT20_1,0.0,0.0,0.0
R_DESAT20_2,0.0,0.0,0.0
R_DESAT22_1p,0.0,0.0,0.0
R_DESAT22_2p,0.0,0.0,0.0
R_DESAT24_1,0.0,0.0,0.0
R_DGAT,0.0,0.0,0.0
R_DGK1,0.0,0.0,0.0
R_DGK2m,0.0,0.0,0.0
R_DGNSKm,0.0,0.0,0.0
R_DGULND,0.0,0.52180117627213074,0.54204306109209777
R_DHAPA,0.0,0.0,0.0
R_DHAPAx,0.0,0.0,0.0
R_DHCR241r,2.9945046766010992,3.2342920006347704,0.0097350432934898024
R_DHCR242r,0.0,0.0,2.4043919038130426
R_DHCR243r,0.0,0.0,0.0
R_DHCR71r,0.0,0.0,0.0
R_DHCR72r,0.0,0.0,0.0
R_DHCRD1,0.0,0.0,0.0
R_DHCRD2,0.0,0.0,0.0
R_DHDPBMTm,0.0,0.0,0.0
R_DHEASULT,0.0,0.0,0.0
R_DHFR,-0.11511341673538676,-0.1046342908088303,-0.11811493460721913
R_DHORTS,0.0,0.0,0.0
R_DHPM1,0.0,0.0,0.0
R_DHPM2,0.0,0.0,0.0
R_DHPR,0.0,0.0,0.0
R_DHPR2,0.0,0.0,0.0
R_DKMPPD,0.0,0.0,0.0
R_DLNLCGCPT1,0.0,0.0,0.0
R_DLNLCGCPT2,0.0,0.0,0.0
R_DM_atp_c_,15.500000000000002,15.499999999999998,15.499999999999998
R_DMATT,0.0,0.0,0.0
R_DMATTx,0.0,0.0,0.0
R_DMGDHm,0.0,0.0,0.0
R_DMHPTCRNCPT1,0.0,0.0,0.0
R_DMHPTCRNCPT2,0.0,0.0,0.0
R_DMNONCOACRNCPT1,0.0,0.0,0.0
R_DMNONCRNCPT2,0.0,0.0,0.0
R_DNAMTn,0.0,0.0,0.0
R_DNAMTSEn,0.0,0.0,0.0
R_DOGULND1,0.0,0.0,0.0
R_DOGULND2,0.0,0.0,0.0
R_DOGULNO1,0.0,0.0,0.0
R_DOGULNO2,0.0,0.0,0.0
R_DOLASNT_Ler,0.0,0.0,0.0
R_DOLDPP_Ler,0.0,0.0,0.0
R_DOLGPP_Ler,0.93407343852455971,0.0,0.0
R_DOLK_L,0.0,0.0,0.0
R_DOLPGT1_Ler,0.0,0.0,0.0
R_DOLPGT2_Ler,0.0,0.0,0.0
R_DOLPGT3_Ler,0.0,0.0,0.0
R_DOLPH_Ler,0.0,0.0,0.0
R_DOLPMT_L,0.0,0.0,0.0
R_DOLPMT1_Ler,0.0,0.0,0.0
R_DOLPMT2_Ler,0.0,0.0,0.0
R_DOLPMT3_Ler,0.0,0.0,0.0
R_DOLPMT4_Ler,0.93407343852455971,0.0,0.0
R_DOPABMO,0.0,0.0,0.0
R_DOPACHRMISO,0.0,0.0,0.0
R_DOPAMT,0.0,0.0,0.0
R_DOPAQNISO1,0.0,0.0,0.0
R_DOPASULT,0.0,0.0,0.0
R_DORNOp,0.0,0.0,0.0
R_DPCOAK,0.0,0.0,0.0
R_DPGase,0.0,0.0,0.0
R_DPGM,0.0,0.0,0.0
R_DPHMBDCm,0.0,0.0,0.0
R_DPMVDx,0.0,0.0,0.0
R_DPPS,0.0,0.0,0.0
R_DPROOp,0.0,0.0,0.0
R_DRBK,0.0,0.0,0.0
R_DRPA,0.0,0.0,0.1980709815978354
R_DSAT,0.0,0.0,0.0
R_DTMPK,0.0,0.0,0.0
R_DURAD,0.0,0.0,0.0
R_DURAD2,0.24978786861542712,0.22190884857654594,0.24458367250352986
R_DURIK1,0.2135712989929972,0.22098118331241229,0.20155318780989559
R_DURIK1m,0.0,0.0,0.0
R_DURIPP,0.0,0.0,0.19807098159871123
R_DUTPDPm,0.0,0.0,0.0
R_DUTPDPn,0.0,0.0,0.0
R_EBP1r,0.0,0.0,0.0
R_EBP2r,0.0,0.0,0.0
R_ECGISOr,0.0,0.0,0.0
R_ECOAH12m,0.0,0.0,0.0
R_ECOAH1m,0.0,0.0,0.0
R_ECOAH1x,0.0,0.0,0.0
R_ECOAH9m,0.0,0.0,0.0
R_EGMESTr,0.0,0.0,0.0
R_EHGLAT,0.0,0.0,0.0
R_EHGLAT2m,0.0,0.0,0.0
R_EHGLATm,0.0,0.0,0.0
R_EICOSTETCPT1,0.0,0.0,0.0
R_EICOSTETCPT2,0.0,0.0,0.0
R_ELAIDCPT1,0.0,0.0,0.0
R_ELAIDCPT2,0.0,0.0,0.0
R_ENGASE,0.0,0.0,0.0
R_ENGASE2,0.0,0.0,0.0
R_ENGASE2ly,0.0,0.0,0.0
R_ENGASE3ly,0.0,0.0,0.0
R_ENGASEly,0.0,0.0,0.0
R_ENMAN1g,0.0,0.0,0.0
R_ENMAN2g,0.0,0.0,0.0
R_ENMAN3g,0.0,0.0,0.0
R_ENMAN4g,0.0,0.0,0.0
R_ENMAN5g,0.0,0.0,0.0
R_ENMAN6g,0.0,0.0,0.0
R_ENO,1.6482467987660638,7.5491783480579411,6.457972134877628
R_EPCTX,0.0,0.0,0.0
R_ESTSULT,0.0,0.0,0.0
R_ETF,0.0,0.0,0.0
R_ETFQO,0.0,0.0,0.0
R_ETHAK,0.55441393790329851,0.50719390979257362,0.65758283664904282
R_ETHP,0.0,0.0,0.0
R_ETOHMO,0.0,0.0,0.0
R_F1PGT,0.0,0.0,0.0
R_F6Tg,0.0,0.0,0.0
R_FA120ACPH,0.0,0.0,0.0
R_FA140ACPH,0.0,0.0,0.0
R_FA141ACPH,0.0,0.0,0.0
R_FA160ACPH,0.0,0.0,0.0
R_FA161ACPH,0.0,0.0,0.0
R_FA180ACPH,0.0,0.0,0.0
R_FA181ACPH,0.0,0.0,0.0
R_FA1821ACPH,0.0,0.0,0.0
R_FA1822ACPH,0.0,0.0,0.0
R_FA182ACPH,0.0,0.0,0.0
R_FACOAL140i,0.0,0.0,0.0
R_FACOAL150,0.0,0.0,0.0
R_FACOAL160i,0.0,0.0,0.0
R_FACOAL161,0.0,0.0,0.0
